barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8901719134845,Parle-G Biscuit,Parle,Dry biscuits,45gm,,,India,"REFINED WHEAT FLOUR (MAIDA) 68%, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP (SUGAR, CITRIC ACID), IODISED SALT, RAISING AGENTS [INS 503(ii), 500(ii)], MILK SOLIDS, FLOUR TREATMENT AGENTS [INS 1101(ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [INS 472e] CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCE - VANILLA)mm",e,4,https://images.openfoodfacts.org/images/products/890/171/913/4845/front_en.11.400.jpg,,,yes,6/8
8901719134852,Parle G biscuit,Parle,Biscuits,,,,,Energy.protrin.carbohydrate.,d,,https://images.openfoodfacts.org/images/products/890/171/913/4852/front_en.3.400.jpg,,,yes,4/8
8901063139329,bourbon,britannia,Biscuits,50g,,,,"Flavoured Sandwich BiscuitsINGREDIENTS: REFINED WHEAT FLOUR (MAIDAL SUGAR (331 Nutr REFINED PALM OIL, EDIBLE MAIZE STARCH, COCOA SOLIDS (2:7% Per 1 MILK SOLIDS, RAISING AGENTS (500i)& 503(0)1, EMULSIRERS r (471& 322(0)) AND IODISED SALT, CONTAINS PERMITTED HATURAL (150a&150d)&SYNTHETIC (122,110, 133&102) FOOD COLOURS AND ADDED FLAVOURS (NATURE IDENTICAL&ARTIFICIAL (VANILLA, CHOCOLATE MILK MILKY COCOA) FLAVOURING SUBSTANCES (Numbers in brackets as per International Numbering System CONTAINS WHEAT, MILK AND SOYA STORE IN A CO00L, HYGIENIC AND DRY PLACE TRANSFER wChole CONTENTS T0 A CLEAN AIRTIGHT CONTAINER ONCE OPENEDof wFatEner",e,4,https://images.openfoodfacts.org/images/products/890/106/313/9329/front_en.14.400.jpg,,,yes,5/8
8902080000227,Sting Energy,Sting,Energy drink with sugar,1,,Green Dot,,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), SEQUESTERANTS (452(1), 385),TAURINE, CAFFEINE (0.03%), PRESERVATIVES (211, 202), SWEETENERS (955, 950), INOSITOL, VITAMINS PREMIX. CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (129) AND ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",e,4,https://images.openfoodfacts.org/images/products/890/208/000/0227/front_en.81.400.jpg,,,yes,6/8
8906010500764,balaji wafers chataka pataka,Balaji,"Biscuits, Crisps, Crackers (Appetizers), namkeen",25g,,Green Dot India,,"Rice meal (43%), edible vegetable oil (palmolein, rice bran), corn meal (3%), chickpea flour, edible common salt, spices & condiments 2% (cumin, chilli black pepper, dry mango), dehydrated vegetable powder (onion, garlic) sugar, acidity regulator (ins 330), anticaking agent (ins 551), flavour enhancer (ins 627, ins 631), natural and nature identical flavouring substances (garlic, black pepper), paprika extract (ins 160C).",e,4,,,,no,6/8
8901063093522,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",52.5 g,,Green Dot India,,"INGREDIENTS REFINED WHEAT FLOUR (MAIDA), EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW NUTS (4.5%), INVERT SYRUP, MILK SOLIDS, BUTTER (96%), RAISING AGENTS (503&5000TH 100ISED SALT AND EMULSIFIERS (322,471,472) CONTAINS ADDED FLAVOURS (NATURE IDENTICAL AND ARTIFICIAL (MILK AND VANILLA) FLAVOURING SUBSTANCES! (Numbers in brackets as per laternational Numbering System) CONTAINS WHEAT, NUTS, MILK AND SOYA.",unknown,4,https://images.openfoodfacts.org/images/products/890/106/309/3522/front_en.28.400.jpg,,,yes,6/8
8901058017687,maggi,Maggi,"Noodles, Maggi, Maggie",75,,,,"Refined maida,palm oil,lodized salt,wheat gluten,thickeners(500&412),acidity regulators(501&500)and humectant(451(i)), MASALA TASTEMAKER&quot;: Mixed Spices (26.2%) (Onion powder, Coriander powder, Red chilli powder, Turmeric powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Toasted onion powder, Clove powder, Green cardamom powder, Nutmeg powder), Hydrolysed groundnut protein, Refined wheat flour (Maida), Sugar, Starch, Palm oil, lodized salt, Thickener (508), Acidity regulator (330), Flavour enhancer (635), Colour (150d), Mineral and Wheat gluten. And NOODLES:  Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412).  Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). Allergen Note: Contains Wheat & Nut. May contain Milk, Oats and Soy .",e,4,https://images.openfoodfacts.org/images/products/890/105/801/7687/front_en.13.400.jpg,,,yes,5/8
8901063162914,Marie Gold Biscuit,Britannia,Biscuits,64 g,,"Halal, No Trans fat, FSSC ISO 22000, Green Dot India, HACCP",,"REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK), RAISING AGENTS [503(i)&500), 10DISED SALT, MINERALS, ARTIFICIAL (MILK & VANILLA) & NATURE IDENTICAL FLAVOURING SUBSTANCES, EMULSIFIER (472e), DOUGH CONDITIONER (223) VITAMINS AND COLOUR (150d).",e,4,https://images.openfoodfacts.org/images/products/890/106/316/2914/front_en.3.400.jpg,,,yes,6/8
8906010500559,Mung Dal,Balaji,"Snacks, Food",25 g,,,,"INGREDIENTS: MUNG BEAN SPLITS (85%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), EDIBLE COMMON SALT, BLACK SALT.",d,,https://images.openfoodfacts.org/images/products/890/601/050/0559/front_es.15.400.jpg,,,yes,5/8
8901764042911,Thums up,Thums up,"Carbonated waters, Colas, Sweetened beverages",250 ml,"Plastic,bottle",Green Dot India,,"Carbonated water, sugar, acidity regulator (338), caffeine (8.1 mg/100 g), sweetener (960), colour (150 d), flavours (natural, nature-identical & artificial (cola) flavouring substances).",e,4,https://images.openfoodfacts.org/images/products/890/176/404/2911/front_en.41.400.jpg,,,yes,7/8
8906010500245,Balaji Wafers Masala Sev Murmura,Balaji Wafers,Wafers,40 g,,Green Dot India,,,e,,https://images.openfoodfacts.org/images/products/890/601/050/0245/front_en.20.400.jpg,,,yes,5/8
8906010502232,Balaji wafers panjabi tadka,Balaji,"Crisps, Namkeen",22g,,Vegetarian,,"EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), POTATO FLAKES (23%), CHICKPEA FLOUR (19%), MOTH BEAN FLOUR, STARCH, BLACK SALT, EDIBLE COMMON SALT, SUGAR, DEHYDRATED VEGETABLE POWDER ONION GARLIC, SPICES & CONDIMENTS (CHILLI, DRY MANGO, CUMIN, CORIANDER TURMERIC, NUTMEG, MACE), MILK SOLIDS (WHEY) (0.06%), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 296, INS 330 ANTICAKING AGENT (INS 551), FLAVOUR ENHANCER (INS 627, INS 631 TURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, CUMIN",e,4,https://images.openfoodfacts.org/images/products/890/601/050/2232/front_en.6.400.jpg,,,yes,6/8
8906010500900,Wheelos Masala Flavour,Balaji Wafers,Appetizers,22 g,,Green Dot India,,"REFINED WHEAT FLOUR (MAIDA) (60%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), TAPIOCA STARCH, CORN FLOUR, EDIBLE COMMON SALT, DEHYDRATED VEGETABLE POWDER (ONION, GARLIC, TAMARIND), SPICES & CONDIMENTS 2% (DRY MANGO, CHILLI, PEPPER, CUMIN), SUGAR, YEAST EXTRACT, ACIDITY REGULATOR (INS 296, INS 330, INS 334), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (MASALA), FLAVOUR ENHANCER (INS 627, INS 631), ANTICAKING AGENT (INS 551, INS 341 (III)), PAPRIKA EXTRACT (INS 160C).",e,4,https://images.openfoodfacts.org/images/products/890/601/050/0900/front_en.20.400.jpg,,,yes,6/8
8906010500023,POTATO WAFERS,Balaji,"Appetizers, POTATO WAFERS",,,Green Dot India,,"POTATO (89%), EDIBLE VEGETABLE OIL (PALMOLEIN), EDIBLE COMMON SALT (0.4%).",e,3,https://images.openfoodfacts.org/images/products/890/601/050/0023/front_en.8.400.jpg,,,yes,5/8
8901764032912,Sprite,"Coca-Cola, sprite","Sodas, Sweetened beverages",250 ml,"India,Transparent",,"Telangana, West Bengal","CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), SWEETENER(960), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",e,4,https://images.openfoodfacts.org/images/products/890/176/403/2912/front_en.26.400.jpg,,,yes,7/8
7622202225512,Original Oreo,Cadbury,"Filled biscuits, Des",,,,,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%) Lening Agents 50g (i), 503(ii), Starch, lodised Salt, Emulsifies Naturetical Flavouring Substances. Allergen Inition Contains Wheat, Sulphite, Soy. May Contain and Barley. T&C apply €40 e 2025/7/18 21:04",e,4,https://images.openfoodfacts.org/images/products/762/220/222/5512/front_en.28.400.jpg,,,yes,4/8
8904043901015,Tata Salt,Tata,"Table salts, Groceries",1 kg,"Plastic, HDPE",Green Dot India,India,"Edible Common Salt, Potassium Iodate (2mg) and Anticaking Agent (INS 536)",not-applicable,2,https://images.openfoodfacts.org/images/products/890/404/390/1015/front_en.34.400.jpg,,,yes,8/8
8901058000290,maggi,Nestlé,"Instant noodles, Instant Noodles with Seasoning",70,,Green Dot India,,"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330). Colour (150d), Mineral and Wheat gluten. Allergen Note: Contains Wheat & Nut. May contain Milk, Mustard, Oats And Soy.",e,4,https://images.openfoodfacts.org/images/products/890/105/800/0290/front_en.36.400.jpg,,,yes,6/8
3948764032912,Sprite,"Coca-Cola, Sprite",Sodas,250ml,,,,Sprite,unknown,,https://images.openfoodfacts.org/images/products/394/876/403/2912/front_en.12.400.jpg,,,yes,5/8
8901063092853,Good Day cashew cookie,Britannia,Biscuits,30.2 g,,,,"REFINED WHEAT FLOUR, SUGAR, EDIBLE VEGETABLE OIL (PALM), SUGAR, CASHEW BUTS (4.5%), INTERESTERIFIED VEGETABLE FAT, COCOA SOLIDS (3%), INVERT SYRUP, MILK SOLIDS, BUTTER (0.6%) RAISING AGENTS [503(II), 500(II), IODISED SALT AND EMULSIFIER(322, 471, 472E). CONTAINS ADDED FLAVOURS [NATURE IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES - MILK AND VANILLA]",e,4,https://images.openfoodfacts.org/images/products/890/106/309/2853/front_en.4.400.jpg,,,yes,5/8
8906017290040,Bisleri 1ltr MADE IN INDIA,Bisleri,Waters,1,,,,"TREATED WATER, MINERALS (CALCIUM CHLORIDE, MAGNESIUM SULPHATE, POTASSIUM BICARBONATE).",b,1,https://images.openfoodfacts.org/images/products/890/601/729/0040/front_en.8.400.jpg,,,yes,5/8
3948764042911,thums up,thumsup,"Colas, Sweetened beverages",250ml,,Green Dot India,,,e,,https://images.openfoodfacts.org/images/products/394/876/404/2911/front_en.20.400.jpg,,,yes,5/8
8901719129988,Happy happy - Parl,Parle,"Biscuits, Happy happy biscuit",31.5 g,,,"Maharashtra, Tamil Nadu, Telangana, Uttarakhand","REFINED WHEAT FLOUR(MAIDA), SUGAR, REFINED PALM OIL, CHOCO CHIPS(8.4%), [SUGAR, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), COCOA SOLIDS, DEXTROSE, EMULSIFIER (SOY LECITHIN) AND ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)], INVERT SUGAR SYRUP, COCOA SOLIDS (0.5%), IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)] AND EMULSIFIER OF VEGETABLE ORIGIN (472e) CONTAINS PERMITTED NATURAL FOOD COLOURS [ 150c, 150d ] AND ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES - CHOCOLATE).",e,4,https://images.openfoodfacts.org/images/products/890/171/912/9988/front_en.14.400.jpg,,,yes,6/8
7622202334009,dairy milk,"Cadbury, Dairy Milk",Milk chocolates,11 g,,Green Dot India,,,e,,https://images.openfoodfacts.org/images/products/762/220/233/4009/front_en.9.400.jpg,,,yes,5/8
8906010500627,Chataka Pataka Tangy Tomato,Balaji,"Crisps, Chatapataka, Chis",,,,,"Rice meal (42%), edible vegetable oil (palmolein, rice bran), corn meal (13%), chickpea flour, sugar, edible common salt, dehydrated vegetable powder (tomato (0.8%), onion, garlic), chilli powder, anticaking agent (ins 551), emulsifier (ins 414), flavour enhancer (ins 627, ins 631), natural & nature identical flavouring substances (tomato).",e,4,https://images.openfoodfacts.org/images/products/890/601/050/0627/front_en.4.400.jpg,,,yes,4/8
8901030921667,kissan,Kissan,"Ketchup, Tomato & Chill Ketchup",1,,,,"WATER, TOMATO PASTE* (28%), SUGAR, IODISED SALT, ACIDITY REGULATOR - E260, STABILIZERS - E1422, E415, PRESERVATIVE - E211, ONION POWDER, GARLIC POWDER, SPICES AND CONDIMENTS.",e,4,https://images.openfoodfacts.org/images/products/890/103/092/1667/front_en.39.400.jpg,,,yes,5/8
8901764092206,Maaza,"Mazza, The Coca-Cola Company","Juices and nectars, juice",600 ml,,Green Dot India,,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATORS (330, 331(iii)), ANTIOXIDANT (300), PRESERVATIVE (202), COLOUR (110), MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL FLAVOURING SUBSTANCES).",e,4,https://images.openfoodfacts.org/images/products/890/176/409/2206/front_en.86.400.jpg,,,yes,6/8
8901030535895,Bru Instant Coffee,Bru,"Coffees, Instant coffees",1.2 g,,Green Dot India,,"Coffee 70%, Chicory 30%",unknown,1,https://images.openfoodfacts.org/images/products/890/103/053/5895/front_en.3.400.jpg,,,yes,6/8
8901030897542,kissan fresh tomato,Kissan,Tomato Ketchup,90g,,Green Dot India,,"water, tomato paste (28%), sugar, iodised salt, acidity regulator-E260, stabilizers - E1422, E415, Preservetive - E211, Onion power, garlic powder, spices and condiments.",e,4,https://images.openfoodfacts.org/images/products/890/103/089/7542/front_en.22.400.jpg,,,yes,6/8
8901764082405,Kinley Mineral Water 1ltr,Kinley,Waters,6,Plastic bottles,,Delhi,"Treated Water, Salts of Sodium and Magnesium",b,1,https://images.openfoodfacts.org/images/products/890/176/408/2405/front_en.40.400.jpg,,,yes,7/8
