barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
6111242100992,Perly,Jaouda,"Snacks, Plain fermented dairy desserts with cream",100 g,Plastique,,Maroc,"milk cream, cream, sugar, banana, bacteria",a,3,https://images.openfoodfacts.org/images/products/611/124/210/0992/front_fr.172.400.jpg,,,yes,7/8
3017620425035,Nutella,Nutella,"Pâtes à tartiner aux noisettes et au cacao, en:Confectionary based spreads, en:pates-a-tartiner-au-chocolat, en:pates-a-tartiner-aux-noisettes, en:pates-a-tartiner-aux-noisettes-et-au-cacao, en:petit-dejeuners, en:produits-a-tartiner, en:produits-a-tartiner-sucres",1 kg,"Composites multicouches,Plastique,Carton,Verre,PP 5 - Polypropylène,Verre transparent,Carton non ondulé,82 C/X,82 C/PAP,en:Bocal","Végétarien, Sans gluten, Sans conservateurs, Sans colorants, Sans matière grasse hydrogénée, Triman",France,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten",e,4,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,,,yes,8/8
7613035833272,Perrier,"Nestlé, Nestlé Waters, Perrier","Boissons sans alcool, Boissons sans sucre ajouté, Eaux minérales gazeuses",1 l,"Kunststoff,PET - Polyethylenterephtalat","Végétalien, Point Vert","France, Gard, Vergèze",EAU MINERALE NATURELLE RENFORCEE AU GAZ DE LA SOURCE,a,1,https://images.openfoodfacts.org/images/products/761/303/583/3272/front_en.149.400.jpg,,,yes,8/8
5000108478119,Quaker White Oats,Quaker,Flocons d'avoine,1.73 - 3.00,Sachet,,,100% flocons d'avoine,a,1,https://images.openfoodfacts.org/images/products/500/010/847/8119/front_en.71.400.jpg,,,yes,6/8
5000354908248,Original Custard powder,Bird's,"Dessert mixes, Custards and pastry creams, Custard powder",350 g,"MixedPlastic-pot, Unknown-lid","Vegetarian, Green Dot",,"Maize Starch, Salt, Colour (Annatto Norbixin), Flavouring.",b,4,https://images.openfoodfacts.org/images/products/500/035/490/8248/front_en.33.400.jpg,,,yes,7/8
0716270001660,Ginger Crystallized In Dark Chocolate,Chocolove,"Candied fruits, Ginger, Crystallized ginger, Groceries",3.2 g,PpFilm-packet,"Rainforest Alliance, Non GMO project",,"dark chocolate (cocoa liquor*, sugar, cocoa butter*, soy lecithin, vanilla), crystallized ginger (ginger, sugar)",not-applicable,4,https://images.openfoodfacts.org/images/products/071/627/000/1660/front_en.41.400.jpg,,,yes,7/8
0074305001161,APPLE CIDER VINEGAR,BRAGG,"Sauces, Cider vinegars, Groceries",473 ml,,"No gluten, USDA Organic, Certified B Corporation, Made in USA, Non GMO project",,"ORGANIC APPLE CIDER VINEGAR, WATER.",not-applicable,2,https://images.openfoodfacts.org/images/products/007/430/500/1161/front_en.73.400.jpg,,,yes,6/8
0020357122682,Milk,Mestla,Milks,100,,,,,unknown,,,,,no,4/8
8904004402261,PHALHARI CHIWDA,Haldiram,Appetizers,45g,plastic,,,"Potato, (Peanuts), Refined Palmolein Oil, Refined Sugar, Rock Salt, Red Chilli, Black Pepper, Poppy Seed, Dried Ginger Powder, Clove Powder, Cumin, Nutmeg, Cardamom & Cinnamon. Groundnut",d,3,https://images.openfoodfacts.org/images/products/890/400/440/2261/front_en.3.400.jpg,,,yes,6/8
9300633929169,Chunk Light Tuna,Woolworths,Tuna chunks,,,Australian made,,,unknown,,https://images.openfoodfacts.org/images/products/930/063/392/9169/front_en.27.400.jpg,,,yes,4/8
